Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Bruno Nuytten,,,1945-08-28,"Melun, Seine-et-Marne, Île-de-France, France",,0,https://en.wikipedia.org/wiki/Bruno_Nuytten
Katharine O'Brien,,2008–present,,,Film director Screenwriter Film editor Camera operator Art director Executive producer,0,https://en.wikipedia.org/wiki/Katharine_O%27Brien
Kingsley Ogoro,,2003–present,BornKingsley OgoroNigeria,Nigeria,,0,https://en.wikipedia.org/wiki/Kingsley_Ogoro
Izu Ojukwu,,,,,Director,0,https://en.wikipedia.org/wiki/Izu_Ojukwu
Kihachi Okamoto,,,1924-02-17,"Yonago, Tottori, Japan","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Kihachi_Okamoto
Sidney Olcott,,1904–1942,1872-09-20,"Toronto, Ontario, Canada","Film director, producer and screenwriter",1,https://en.wikipedia.org/wiki/Sidney_Olcott
Jorge Olguín,,,Born1973/1974 (age 45–46)[1],,Film director,0,https://en.wikipedia.org/wiki/Jorge_Olgu%C3%ADn_(director)
Susan Oliver,,1955–1988,1932-02-13,New York City,Actress,1,https://en.wikipedia.org/wiki/Susan_Oliver
Ermanno Olmi,,1953–2018,1931-07-24,"Bergamo, Italy",Film directorScreenwriterCinematographerFilm editor,1,https://en.wikipedia.org/wiki/Ermanno_Olmi
Gunnar Olsson,,1933-1974,1904-07-10,"Oxelösund, Sweden",Actor,1,https://en.wikipedia.org/wiki/Gunnar_Olsson_(actor)
Max Ophüls,,1931–1957,1902-05-06,"Saarbrücken, German Empire","Director, Writer",1,https://en.wikipedia.org/wiki/Max_Oph%C3%BCls
Benjamin Orifici,,,,,"Film director, screenwriter, cinematographer, editor",0,https://en.wikipedia.org/wiki/Benjamin_T._Orifici
Kenny Ortega,,1980–present,1950-04-18,"Palo Alto, California, U.S.","Filmmaker, choreographer, touring manager",0,https://en.wikipedia.org/wiki/Kenny_Ortega
Mamoru Oshii,,1977–present,1951-08-08,"Tokyo, Japan","Film director, screenwriter, manga writer, television director, novelist",0,https://en.wikipedia.org/wiki/Mamoru_Oshii
Nagisa Oshima,,1953–1999,1932-03-31,"Tamano, Okayama, Empire of Japan",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Nagisa_Oshima
Richard Oswald,,,1880-11-05,"Vienna, Austria-Hungary",Film director,1,https://en.wikipedia.org/wiki/Richard_Oswald
Katsuhiro Otomo,,,1954-04-14,,WriterPenciller,0,https://en.wikipedia.org/wiki/Katsuhiro_Otomo
Ulrike Ottinger,,1973 - present,1942-06-06,"Konstanz, Germany",Film directorScreenwriter,0,https://en.wikipedia.org/wiki/Ulrike_Ottinger
Idrissa Ouedraogo,,1970s–2018,1954-01-21,"Banfora, Upper Volta",Film director screenwriter producer,1,https://en.wikipedia.org/wiki/Idrissa_Ouedraogo
Horace Ové,,,1939-12-03,"Belmont, Trinidad and Tobago","Director, producer, photographer",0,https://en.wikipedia.org/wiki/Horace_Ov%C3%A9
Frank Oz,EducationOakland Technical High School,1961–present,1944-05-25,"Hereford, Herefordshire, England",Actorpuppeteerdirectorproducer,0,https://en.wikipedia.org/wiki/Frank_Oz
François Ozon,,1988–present,1967-11-15,"Paris, France",Filmmaker,0,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Ozon
Georg Wilhelm Pabst,,1901–1957,1885-08-25,"Raudnitz, Bohemia, Austria-Hungary (now Czech Republic)",,1,https://en.wikipedia.org/wiki/Georg_Wilhelm_Pabst
P. Padmarajan,,1975 – 1991,1945-05-23,"Muthukulam, Harippad, Alleppey, Travancore","Film director, writer, AIR news reader",1,https://en.wikipedia.org/wiki/Padmarajan
Alan J. Pakula,,,1928-04-07,"The Bronx, New York, U.S.","Film director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Alan_J._Pakula
Pan Anzi,,,"Born1977 (age 42–43)Nanjing, Jiangsu","Nanjing, Jiangsu",Film director,0,https://en.wikipedia.org/wiki/Pan_Anzi
Jafar Panahi,,1988–present,1960-07-11,"Mianeh, East Azerbaijan, Iran","Film director, screenwriter, producer, editor",0,https://en.wikipedia.org/wiki/Jafar_Panahi
Norman Panama,,,"BornApril 21, 1914Chicago, Illinois","Chicago, Illinois","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Norman_Panama
Gleb Panfilov,,1958–present,1934-05-21,"Magnitogorsk, Russian SFSR, Soviet Union",Film director,0,https://en.wikipedia.org/wiki/Gleb_Panfilov
Pang Ho-Cheung,,,1973-09-22,Hong Kong,"Film director, producer, screenwriter, novelist, actor, playwright",0,https://en.wikipedia.org/wiki/Pang_Ho-Cheung
Sergei Parajanov,,1951–1990,1924-01-09,"Tbilisi, Georgia","Director, screenwriter, art director, production designer",1,https://en.wikipedia.org/wiki/Sergei_Parajanov
K-Michel Parandi,,2005–present,BornKouhyar M Parandi,,"Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/K-Michel_Parandi
Dean Parisot,,,1952-07-06,"Wilton, Connecticut, U.S.",American film and television director,0,https://en.wikipedia.org/wiki/Dean_Parisot
Park Chan-Wook,,1992–present,1963-08-23,"Seoul, South Korea","Director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Park_Chan-Wook
Jerry Paris,,1949–1986,1925-07-25,"San Francisco, California, U.S.","Actor, director",1,https://en.wikipedia.org/wiki/Jerry_Paris
Nick Park,,1985–present,1958-12-06,,"Animator, director, writer, producer",0,https://en.wikipedia.org/wiki/Nick_Park
Alan Parker,EducationDame Alice Owen's School,1971–present,1944-02-14,"Islington, London, England",Filmmaker,0,https://en.wikipedia.org/wiki/Alan_Parker
Albert Parker,,1917–38,1885-05-11,"New York City, USA",Film director,1,https://en.wikipedia.org/wiki/Albert_Parker_(director)
Trey Parker,EducationEvergreen High School,1989–present,1969-10-19,"Conifer, Colorado, U.S.",Actoranimatorwriterproducerdirectorcomposer,0,https://en.wikipedia.org/wiki/Trey_Parker
James Parrott,,1913–1939,1897-08-02,"Baltimore, Maryland","Film director, actor",1,https://en.wikipedia.org/wiki/James_Parrott
Gabriel Pascal,,,1894-06-04,"Arad, Austria-Hungary (now Romania)",Film producer,1,https://en.wikipedia.org/wiki/Gabriel_Pascal
Pier Paolo Pasolini,,,1922-03-05,,"Film director, novelist, poet, intellectual, journalist",1,https://en.wikipedia.org/wiki/Pier_Paolo_Pasolini
Ivan Passer,,,1933-07-10,"Prague, Czechoslovakia","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Ivan_Passer
Stuart Paton,,1914–1938,1883-07-23,"Glasgow, Scotland",,1,https://en.wikipedia.org/wiki/Stuart_Paton
Anand Patwardhan,,,1950-02-18,"Mumbai, Maharashtra, India",Filmmaker,0,https://en.wikipedia.org/wiki/Anand_Patwardhan
Alexander Payne,EducationCreighton Preparatory SchoolStanford UniversityUCLA,1985–present,1961-02-10,"Omaha, Nebraska, U.S.","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Alexander_Payne
György Pálfi,,,1974-04-11,"Budapest, Hungary",Filmmaker,0,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_P%C3%A1lfi
Richard Pearce,,1970–2006,1943-01-25,"San Diego, California, United States","Film director, television director, cinematographer",0,https://en.wikipedia.org/wiki/Richard_Pearce_(director)
George Pearson,,1914–1937,1875-03-19,"London, England","Director, producer, screenwriter",1,https://en.wikipedia.org/wiki/George_Pearson_(filmmaker)
Raoul Peck,,,"Born1953 (age 66–67)Port-au-Prince, Haiti",,,0,https://en.wikipedia.org/wiki/Raoul_Peck
Sam Peckinpah,,1957–1984,1925-02-21,"Fresno, California, U.S.",Film director and screenwriter,1,https://en.wikipedia.org/wiki/Sam_Peckinpah
Scott Pembroke,,1920–1937,1889-09-13,"San Francisco, California, USA","Film actor, director and screenwriter",1,https://en.wikipedia.org/wiki/Scott_Pembroke
Arthur Penn,,,1922-09-27,"Philadelphia, Pennsylvania, United States","Film director, producer",1,https://en.wikipedia.org/wiki/Arthur_Penn
Sean Penn,,1974–present,1960-08-17,"Santa Monica, California, U.S.",Actor filmmaker director,0,https://en.wikipedia.org/wiki/Sean_Penn
Joe Penna,,2006–present,1987-05-29,"São Paulo, Brazil[1]",,0,https://en.wikipedia.org/wiki/Joe_Penna
Mark Pellington,,1990–present,1962-03-17,"Baltimore, Maryland, U.S.","Film director, producer, writer, photographer",0,https://en.wikipedia.org/wiki/Mark_Pellington
Ivan Perestiani,,,"BornIvan Nikolaevich Perestiani13 April [O.S. 1 April] 1870Taganrog, Yekaterinoslav Governorate, Russian Empire","Taganrog, Yekaterinoslav Governorate, Russian Empire",Film directorScript-writerActor,1,https://en.wikipedia.org/wiki/Ivan_Perestiani
Lester James Peries,,1949–2006,1919-04-05,"Dehiwela, British Ceylon","Film director, Film producer and Screenwriter",1,https://en.wikipedia.org/wiki/Lester_James_Peries
Léonce Perret,,,1880-03-14,"Niort, Deux-Sèvres, France","Actor, director and producer",1,https://en.wikipedia.org/wiki/L%C3%A9once_Perret
Tyler Perry,,1992–present,1969-09-13,"New Orleans, Louisiana, U.S.","Actor, writer, producer, director, comedian",0,https://en.wikipedia.org/wiki/Tyler_Perry
Christian Peschken,,1974 - present,1955-06-09,"Nümbrecht, North Rhine-Westphalia, West Germany","Cameraman, executive producer, Producer, Screenwriter",0,https://en.wikipedia.org/wiki/Christian_Peschken
Wolfgang Petersen,,1965–present,1941-03-14,"Emden, Lower Saxony, Germany",Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/Wolfgang_Petersen
Daniel Petrie,EducationSt. Francis Xavier UniversityColumbia University,1949–2001,1920-11-26,"Glace Bay, Nova Scotia, Canada","Director, educator, writer",1,https://en.wikipedia.org/wiki/Daniel_Petrie
Elio Petri,,1953–1982,1929-01-29,"Rome, Italy",Film director,1,https://en.wikipedia.org/wiki/Elio_Petri
Maurice Pialat,,,1925-08-31,"Cunlhat, Puy-de-Dôme, France","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Maurice_Pialat
Irving Pichel,,1920–54,1891-06-24,"Pittsburgh, Pennsylvania, U.S.",Actor/Director,1,https://en.wikipedia.org/wiki/Irving_Pichel
Andy Picheta,,1980–present,1957-10-21,"Ealing, London, England","Television director, film director, theatrical producer, line producer, television producer, film producer",0,https://en.wikipedia.org/wiki/Andy_Picheta
Frank Pierson,EducationB.A. from Harvard College,1944 – 2012,1925-05-12,"Chappaqua, New York, U.S.","Director, screenwriter",1,https://en.wikipedia.org/wiki/Frank_Pierson
Derek Pike,EducationNew York University,2009–present,1988-03-17,"Englewood, New Jersey, U.S.","Director, Writer",0,https://en.wikipedia.org/wiki/Derek_Pike
Lucian Pintilie,,,1933-11-09,"Tarutina, Romania(today Ukraine)[1]","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Lucian_Pintilie
Pitof,,1991–present,1957-07-04,"Paris, France","Visual Effects director, director, screenwriter",0,https://en.wikipedia.org/wiki/Pitof
René Plaissetty,,,1889-03-07,"Chicago, IllinoisUnited States","Film director, film producer, film writer",1,https://en.wikipedia.org/wiki/Ren%C3%A9_Plaissetty
Ihor Podolchak,,1984 – present,1962-04-09,"Lviv, Ukrainian SSR, USSR","Film director, screenwriter, producer, painter, printmaker, photographer",0,https://en.wikipedia.org/wiki/Ihor_Podolchak
Roman Polanski,,1953–present,1933-08-18,"Paris, France","Film director, producer, writer, actor",0,https://en.wikipedia.org/wiki/Roman_Polanski
Mark Polish,,,1970-10-30,"El Centro, California, U.S.","Screenwriters, film producers, film directors, actors",0,https://en.wikipedia.org/wiki/Mark_Polish
Michael Polish,,,1970-10-30,"El Centro, California, U.S.","Screenwriters, film producers, film directors, actors",0,https://en.wikipedia.org/wiki/Michael_Polish
Kay Pollak,,1972-present,1938-05-21,"Gothenburg, Sweden",Film director,0,https://en.wikipedia.org/wiki/Kay_Pollak
Sydney Pollack,,1955–2008,1934-07-01,"Lafayette, Indiana, U.S.","Actor, producer, director",1,https://en.wikipedia.org/wiki/Sydney_Pollack
Harry A. Pollard,,1912–1932,1879-01-23,"Republic, Kansas, U.S.",,1,https://en.wikipedia.org/wiki/Harry_A._Pollard
Gillo Pontecorvo,,1953–2003,1919-11-19,"Pisa, Italy",Film director,1,https://en.wikipedia.org/wiki/Gillo_Pontecorvo
Ted Post,,,1918-03-31,"New York City, New York",Film directorTelevision director,1,https://en.wikipedia.org/wiki/Ted_Post
H. C. Potter,"EducationYale University (BA, MFA)",,"BornNovember 13, 1904New York City, New York, U.S.","New York City, New York, U.S.","Film director, theatre director, theatre producer",1,https://en.wikipedia.org/wiki/H._C._Potter
Sally Potter,,1979–present,1949-09-19,"London, England",Film directorscreenwriter,0,https://en.wikipedia.org/wiki/Sally_Potter
Frank Powell,,1920s,1877-05-08,"Hamilton, Ontario",Actor-Director-Producer-Screenwriter,0,https://en.wikipedia.org/wiki/Frank_Powell
Michael Powell,,1925–1983,1905-09-30,"Bekesbourne, Kent, England","Film director, producer, writer, production company co-founder (with Emeric Pressburger)",1,https://en.wikipedia.org/wiki/Michael_Powell
Paul Powell,,1914–1930,1881-09-06,"Peoria, Illinois, U.S.","Journalist, director, producer, screenwriter and actor",1,https://en.wikipedia.org/wiki/Paul_Powell_(director)
Rosa von Praunheim,,1969-present,1942-11-25,"Riga, Latvia",Filmmaker,0,https://en.wikipedia.org/wiki/Rosa_von_Praunheim
Otto Preminger,,1924-1986,1905-12-05,"Wischnitz, Austria-Hungary (present-day Vyzhnytsia, Ukraine)","Film director, producer, actor",1,https://en.wikipedia.org/wiki/Otto_Preminger
Emeric Pressburger,,,"BornImre József Pressburger5 December 1902Miskolc, Austria-Hungary","Miskolc, Austria-Hungary","Film screenwriter, director and producer, production house co-founder with Michael Powell",1,https://en.wikipedia.org/wiki/Emeric_Pressburger
Michael Pressman,,1976–present,Born1950 (age 69–70),,"Director, producer, actor",0,https://en.wikipedia.org/wiki/Michael_Pressman
Sarah Price,,,"Born1970Virginia, United States","Virginia, United States",Film director/producer,0,https://en.wikipedia.org/wiki/Sarah_Price_(filmmaker)
Prince,,1975–2016,1958-06-07,"Minneapolis, Minnesota, U.S.",Singer songwriter musician record producer dancer actor filmmaker,1,https://en.wikipedia.org/wiki/Prince_(musician)
Yakov Protazanov,,1907–1943,1881-01-23,"Moscow, Russian Empire","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Yakov_Protazanov
Alex Proyas,,1980–present,1963-09-23,"Alexandria, United Arab Republic (present-day Egypt)","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Alex_Proyas
Vsevolod Pudovkin,,1919–1953,1893-02-16,"Penza, Russian Empire","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Vsevolod_Pudovkin
Jon Puno,EducationUniversity of Southern California,,"Born1985San Francisco, California, United States","San Francisco, California, United States","Filmmaker, singer",0,https://en.wikipedia.org/wiki/Jon_Paul_Puno
Derek Purvis,,1993–present,1972-11-27,"Pittsfield, Massachusetts, USA",,0,https://en.wikipedia.org/wiki/Derek_Estlin_Purvis
Ivan Pyryev,,1921-1968,1901-11-17,"Kamen-na-Obi, Tomsk Governorate, Russian Empire",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Ivan_Pyryev
Parvez Sharma,,,Born8 July 1976India,India,Filmmaker and writer,0,https://en.wikipedia.org/wiki/Parvez_Sharma
Ayoub Qanir,"EducationUniversity of Miami, Lee Strasberg Theatre and Film Institute",2001–present,,,"Film director, writer, industrial designer",0,https://en.wikipedia.org/wiki/Ayoub_Qanir
Brothers Quay,,,1947-06-17,"Norristown, Pennsylvania, U.S.","film directors, animators",0,https://en.wikipedia.org/wiki/Brothers_Quay
John Quigley,,1991–present,"BornDetroit, Michigan","Detroit, Michigan","Film director, producer, editor, writer",0,https://en.wikipedia.org/wiki/John_Quigley_(producer)
Richard Quine,,1933–1980,1920-11-12,"Detroit, Michigan, U.S.","Actor, director",1,https://en.wikipedia.org/wiki/Richard_Quine
Michael Radford,,,1946-02-24,"New Delhi, British India","Film director, screenwriter, television writer",0,https://en.wikipedia.org/wiki/Michael_Radford
Bob Rafelson,,1959–present,1933-02-21,"New York City, US","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Bob_Rafelson
Jeff Ragsdale,EducationUniversity of Washington,1999–present,"BornJeffrey Charles RagsdaleBellingham, Washington","Bellingham, Washington","Writer, actor, filmmaker",0,https://en.wikipedia.org/wiki/Jeff_Ragsdale
Sam Raimi,,1977–present,1959-10-23,"Royal Oak, Michigan, U.S.","Director, producer, screenwriter, actor",0,https://en.wikipedia.org/wiki/Sam_Raimi
Yvonne Rainer,EducationOne year at San Francisco Junior College Martha Graham Center of Contemporary Dance,,1934-11-24,"San Francisco, California, U.S.",,0,https://en.wikipedia.org/wiki/Yvonne_Rainer
Hossein Rajabian,EducationDramatic literature (Unfinished),,1984-07-05,,"Filmmaker, Writer, Photographer",0,https://en.wikipedia.org/wiki/Hossein_Rajabian
Harold Ramis,,1968–2014,1944-11-21,"Chicago, Illinois, U.S.","Actor, comedian, director, writer",1,https://en.wikipedia.org/wiki/Harold_Ramis
Lynne Ramsay,,1995–present,1969-12-05,"Glasgow, Scotland",Film director screenwriter cinematographer,0,https://en.wikipedia.org/wiki/Lynne_Ramsay
Irving Rapper,,1929–78,1898-01-16,"London, England, UK","Film director, dialogue director",1,https://en.wikipedia.org/wiki/Irving_Rapper
Mani Ratnam,,1983–present,1956-06-02,,Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/Mani_Ratnam
Brett Ratner,"EducationNew York University, Harvard Business School",1987–present,"BornMarch 28, 1969 (age 51)Miami Beach, Florida, U.S.","Miami Beach, Florida, U.S.","Director, producer",0,https://en.wikipedia.org/wiki/Brett_Ratner
Gregory Ratoff,,1921-1960,"BornGrigory Vasilyevich RatnerApril 20, c. 1893Samara, Russia","Samara, Russia","Film director, actor and producer",1,https://en.wikipedia.org/wiki/Gregory_Ratoff
John Rawlins,,1932-1958,1902-06-09,"Long Beach, California",Film director,1,https://en.wikipedia.org/wiki/John_Rawlins_(director)
Albert Ray,,1915-1939,1897-08-28,"New Rochelle, New York",Film directorActorScreenwriter,1,https://en.wikipedia.org/wiki/Albert_Ray
Bernard B. Ray,,1926-1960,"BornNovember 18, 1895Moscow, Russian Empire","Moscow, Russian Empire","Producer, Director",1,https://en.wikipedia.org/wiki/Bernard_B._Ray
Man Ray,,,1890-08-27,"Philadelphia, Pennsylvania, U.S.",,1,https://en.wikipedia.org/wiki/Man_Ray
Nicholas Ray,,1948–1979,1911-08-07,"Galesville, Wisconsin, U.S.",Film director,1,https://en.wikipedia.org/wiki/Nicholas_Ray
